StudyID;EffectID;Author;Year;N;dmh;vardmh;dmin;vardmin;MindfulnessIntervention;ActiveControl;TAUcontrol;WaitlistControl;PsychiatricSample;NonpsychiatricSample;MedicalSample;TreatmentGroup;ControlGroup;TreatmentDuration;StudyQuality;MindfulnessMeasure;RoB1;RoB2;RoB3;RoB4;RoB5;RoBt
12;24;Bieling;2012;56;-0,289847388;0,026576234;-0,160818286;0,025429791;0;0;1;0;1;0;0;MBCT;TAU;22,00;2;other;1;2;2;1;1;2
13;25;Bluth;2016a;34;0,266762359;0,036179559;0,605119095;0,073942785;1;0;0;0;0;1;0;other;waitlist;9,00;2;other;1;2;0;1;1;2
13;26;Bluth;2016a;34;0,025488277;0,031062887;0,152948758;0,056205370;0;0;0;1;0;1;0;other;waitlist;9,00;2;other;1;2;0;1;1;2
14;27;Bluth;2016b;27;0,250443629;0,050368958;0,065291415;0,071580820;1;0;0;0;0;1;0;other;active;9,17;4;other;1;2;0;1;1;2
14;28;Bluth;2016b;27;0,038224226;0,057381725;-0,507502221;0,086829173;0;1;0;0;0;1;0;other;active;9,17;4;other;1;2;0;1;1;2
15;29;Bohlmeijer;2011;93;0,618927264;0,016308183;0,607444220;0,024173352;1;0;0;0;1;0;0;ACT;waitlist;16,00;3;AAQ;0;0;0;1;1;1
15;30;Bohlmeijer;2011;93;0,285031045;0,015961294;0,138611957;0,022945605;0;0;0;1;1;0;0;ACT;waitlist;16,00;3;AAQ;0;0;0;1;1;1
16;31;Bowen;2009;168;1,269998715;0,023422291;0,335979300;0,014668845;1;0;0;0;1;0;0;other;active;16,00;5;other;1;0;0;1;1;1
16;32;Bowen;2009;168;1,004497004;0,026108254;-0,064683211;0,017175826;0;1;0;0;1;0;0;other;active;16,00;5;other;1;0;0;1;1;1
17;33;Braenstroem;2010;71;0,553653140;0,019412229;0,579857131;0,022376776;1;0;0;0;0;0;1;MBSR;waitlist;16,00;3;FFMQ;0;0;0;1;1;1
17;34;Braenstroem;2010;71;0,229542987;0,014029625;0,127284272;0,015791732;0;0;0;1;0;0;1;MBSR;waitlist;16,00;3;FFMQ;0;0;0;1;1;1
18;35;Brinkborg;2011;106;0,019318846;0,010061589;0,343750000;0,015129743;1;0;0;0;0;1;0;ACT;waitlist;12,00;2;AAQ;0;0;0;1;1;1
18;36;Brinkborg;2011;106;-0,072784276;0,017436522;0,266333957;0,028762969;0;0;0;1;0;1;0;ACT;waitlist;12,00;2;AAQ;0;0;0;1;1;1
19;37;Britton;2014;100;0,369423875;0,012363203;0,000000000;0,019230769;1;0;0;0;0;1;0;other;TAU;3,38;5;other;0;0;0;1;1;1
19;38;Britton;2014;100;0,271692827;0,013045141;-0,053562889;0,020863219;0;0;1;0;0;1;0;other;TAU;3,38;5;other;0;0;0;1;1;1
20;39;Brown;2013;40;0,434005045;0,051753035;0,819484199;0,089051812;1;0;0;0;0;0;1;other;TAU;20,00;1;MAAS;1;2;2;1;1;2
20;40;Brown;2013;40;-0,081848939;0,049235065;-0,062981389;0,077075641;0;0;1;0;0;0;1;other;TAU;20,00;1;MAAS;1;2;2;1;1;2
21;41;Brown;2018;28;0,525790163;0,075881843;0,238323888;0,041464307;1;0;0;0;0;1;0;other;TAU;6,00;3;FFMQ;1;0;0;1;1;1
21;42;Brown;2018;28;-0,179643307;0,078164297;0,050375121;0,056614979;0;0;1;0;0;1;0;other;TAU;6,00;3;FFMQ;1;0;0;1;1;1
22;43;Buxton;2020;82;1,769948221;0,054603369;1,359338927;0,040934067;1;0;0;0;1;0;0;other;TAU;150,00;5;KIMS;0;0;0;1;1;1
22;44;Buxton;2020;82;0,056852352;0,023293398;-0,052631579;0,023288024;0;0;1;0;1;0;0;other;TAU;150,00;5;KIMS;0;0;0;1;1;1
23;45;Cappella;2018;92;0,248325137;0,019089494;-0,083846663;0,018583614;1;0;0;0;0;0;1;ACT;TAU;18,00;2;AAQ;0;0;0;1;1;1
23;46;Cappella;2018;92;0,316404188;0,033872768;0,046056178;0,032292277;0;0;1;0;0;0;1;ACT;TAU;18,00;2;AAQ;0;0;0;1;1;1
24;47;Chaplin;2018;96;0,625183307;0,029156758;0,064042501;0,024440261;1;0;0;0;0;1;0;other;active;16,00;4;MAAS;0;2;2;1;1;2
24;48;Chaplin;2018;96;0,487405383;0,026637667;-0,340338895;0,025188459;0;1;0;0;0;1;0;other;active;16,00;4;MAAS;0;2;2;1;1;2
25;49;Chavooshi;2016;43;0,508232493;0,034894397;0,172775436;0,050746284;1;0;0;0;0;0;1;MBSR;active;12,00;3;MAAS;1;2;1;1;1;2
25;50;Chavooshi;2016;43;1,624586892;0,064711320;0,812103830;0,057815492;0;1;0;0;0;0;1;MBSR;active;12,00;3;MAAS;1;2;1;1;1;2
26;51;Chiesa;2015;43;0,708733639;0,034760315;0,334712118;0,027703794;1;0;0;0;1;0;0;MBCT;active;20,00;6;FFMQ;0;0;2;1;1;2
26;52;Chiesa;2015;43;0,192700645;0,032215710;0,039701371;0,030195324;0;1;0;0;1;0;0;MBCT;active;20,00;6;FFMQ;0;0;2;1;1;2
27;53;Clarke;2014;61;0,842880489;0,031070557;0,881871667;0,034722670;1;0;0;0;1;0;0;ACT;active;32,00;6;other;1;0;2;1;1;2
27;54;Clarke;2014;61;0,440052025;0,023908844;0,277380787;0,025125128;0;1;0;0;1;0;0;ACT;active;32,00;6;other;1;0;2;1;1;2
28;55;Colgan;2016;52;0,556066000;0,032177005;0,444704918;0,040699305;1;0;0;0;1;0;0;other;active;6,00;3;FFMQ;1;0;0;1;1;1
28;56;Colgan;2016;52;0,141780336;0,030310932;0,113002244;0,040255390;0;1;0;0;1;0;0;other;active;6,00;3;FFMQ;1;0;0;1;1;1
29;57;Crain;2017;113;0,280619879;0,011883687;0,619876037;0,022076355;1;0;0;0;0;1;0;other;waitlist;36,00;1;FFMQ;1;0;0;1;1;1
29;58;Crain;2017;113;-0,074719736;0,010417586;0,071582814;0,016992577;0;0;0;1;0;1;0;other;waitlist;36,00;1;FFMQ;1;0;0;1;1;1
30;59;Creswell;2012;40;0,466158530;0,055432594;0,608810476;0,059266255;1;0;0;0;0;1;0;MBSR;waitlist;23,00;3;KIMS;1;0;0;1;1;1
30;60;Creswell;2012;40;-0,226939035;0,051287533;-0,209843885;0,051100861;0;0;0;1;0;1;0;MBSR;waitlist;23,00;3;KIMS;1;0;0;1;1;1
31;61;D'Alton;2019;47;0,184385863;0,025548650;-0,047766098;0,024532607;1;0;0;0;0;0;1;MBCT;TAU;16,00;5;FFMQ;1;0;2;1;1;2
31;62;D'Alton;2019;47;0,218588208;0,029134993;0,104072691;0,027459140;0;0;1;0;0;0;1;MBCT;TAU;16,00;5;FFMQ;1;0;2;1;1;2
32;63;Danilewitz;2016;30;0,498483354;0,058227174;0,297194059;0,048224786;1;0;0;0;0;1;0;other;waitlist;10,00;1;FFMQ;1;0;2;1;1;2
32;64;Danilewitz;2016;30;0,118033034;0,074653011;0,032548578;0,067501730;0;0;0;1;0;1;0;other;waitlist;10,00;1;FFMQ;1;0;2;1;1;2
33;65;Daubenmier;2011;47;0,412500000;0,033911005;0,396535629;0,028280912;1;0;0;0;0;0;1;other;waitlist;29,50;1;KIMS;0;0;2;1;1;2
33;66;Daubenmier;2011;47;-0,023008950;0,034108956;0,002206343;0,028960879;0;0;0;1;0;0;1;other;waitlist;29,50;1;KIMS;0;0;2;1;1;2
34;67;de Vibe;2013;288;0,240418326;0,004605254;0,201508507;0,004268320;1;0;0;0;0;1;0;MBSR;waitlist;15,00;3;FFMQ;1;0;0;1;0;1
34;68;de Vibe;2013;288;-0,129719716;0,004386173;0,039437983;0,004180178;0;0;0;1;0;1;0;MBSR;waitlist;15,00;3;FFMQ;1;0;0;1;0;1
35;69;Duncan;2012;76;0,231391850;0,019077711;0,154472181;0,018648871;1;0;0;0;0;0;1;MBSR;waitlist;30,00;2;FFMQ;1;0;0;1;1;1
35;70;Duncan;2012;76;0,133746200;0,020472112;0,206656481;0,020883541;0;0;0;1;0;0;1;MBSR;waitlist;30,00;2;FFMQ;1;0;0;1;1;1
36;71;Duncan;2017;30;0,444064522;0,073239777;0,282842712;0,069333333;1;0;0;0;0;1;0;other;TAU;18,00;5;FFMQ;0;0;2;1;1;2
36;72;Duncan;2017;30;-0,298903995;0,069644787;0,278369081;0,079903436;0;0;1;0;0;1;0;other;TAU;18,00;5;FFMQ;0;0;2;1;1;2
37;73;Elices;2016;64;0,611433586;0,037091422;0,423177102;0,020583267;1;0;0;0;1;0;0;other;active;25,00;5;FFMQ;2;0;2;1;1;2
37;74;Elices;2016;64;-0,162393732;0,031662058;0,119939517;0,019022063;0;1;0;0;1;0;0;other;active;25,00;5;FFMQ;2;0;2;1;1;2
38;75;Esmaeilian;2018;83;1,170127669;0,024338061;0,875018388;0,032924490;1;0;0;0;0;1;0;other;waitlist;18,00;4;other;1;0;0;1;1;1
38;76;Esmaeilian;2018;83;0,064070220;0,014915840;0,209024682;0,024923065;0;0;0;1;0;1;0;other;waitlist;18,00;4;other;1;0;0;1;1;1
39;77;Fledderus;2010;93;0,578705357;0,023825509;0,660505346;0,024859871;1;0;0;0;1;0;0;other;waitlist;16,00;2;AAQ;0;0;0;1;0;1
39;78;Fledderus;2010;93;0,203348700;0,023197167;0,150096053;0,022983282;0;0;0;1;1;0;0;other;waitlist;16,00;2;AAQ;0;0;0;1;0;1
40;79;Flook;2013;18;0,609806359;0,076753294;0,616546425;0,072440070;1;0;0;0;0;1;0;other;waitlist;26,00;2;FFMQ;1;0;0;1;1;1
40;80;Flook;2013;18;0,246362344;0,083425911;0,316832620;0,079122095;0;0;0;1;0;1;0;other;waitlist;26,00;2;FFMQ;1;0;0;1;1;1
41;81;Foley;2010;115;1,204612001;0,021480196;0,671712548;0,022283616;1;0;0;0;0;0;1;MBCT;waitlist;21,00;3;other;0;0;2;1;1;2
41;82;Foley;2010;115;0,398682909;0,012310408;0,101092668;0,016751831;0;0;0;1;0;0;1;MBCT;waitlist;21,00;3;other;0;0;2;1;1;2
42;83;Forkmann;2014;130;0,686921061;0,012183967;0,944510193;0,022594527;1;0;0;0;1;0;0;MBCT;waitlist;20,00;2;KIMS;0;0;0;1;0;1
42;84;Forkmann;2014;130;0,168379659;0,014982596;0,207856418;0,015478820;0;0;0;1;1;0;0;MBCT;waitlist;20,00;2;KIMS;0;0;0;1;0;1
43;85;Forman;2007;101;0,365628199;0,011807187;0,226763917;0,011282824;1;0;0;0;1;0;0;ACT;active;12,50;4;other;1;0;2;1;1;2
43;86;Forman;2007;101;0,427720001;0,014982596;0,199056767;0,013964476;0;1;0;0;1;0;0;ACT;active;12,50;4;other;1;0;2;1;1;2
44;87;Frisvold;2009;40;0,390040153;0,033940883;0,528480463;0,056982290;1;0;0;0;0;1;0;MBSR;TAU;28,00;4;other;0;0;0;1;1;1
44;88;Frisvold;2009;40;0,064156824;0,031446958;0,010137579;0,050002569;0;0;1;0;0;1;0;MBSR;TAU;28,00;4;other;0;0;0;1;1;1
45;89;Garland;2016;128;0,335531243;0,009187435;0,532365377;0,017839163;1;0;0;0;1;0;0;other;active;20,00;6;FFMQ;0;0;0;1;1;1
45;90;Garland;2016;128;0,103398851;0,008806706;-0,009209824;0,015625663;0;1;0;0;1;0;0;other;active;20,00;6;FFMQ;0;0;0;1;1;1
46;91;Gayner;2012;117;0,521544564;0,009193190;0,963481980;0,018771138;1;0;0;0;0;0;1;MBSR;TAU;32,00;3;other;0;0;0;1;1;1
46;92;Gayner;2012;117;0,154472180;0,016565953;0,010581862;0,025642461;0;0;1;0;0;0;1;MBSR;TAU;32,00;3;other;0;0;0;1;1;1
47;93;Gharraee;2018;31;0,259163210;0,048452966;0,576775624;0,055004735;1;0;0;0;1;0;0;ACT;waitlist;12,00;5;other;1;0;0;1;1;1
47;94;Gharraee;2018;31;-0,044052913;0,050061556;-0,032373099;0,050028833;0;0;0;1;1;0;0;ACT;waitlist;12,00;5;other;1;0;0;1;1;1
48;95;Goldin;2012;56;1,527239028;0,052411008;1,195323340;0,055303192;1;0;0;0;1;0;0;MBSR;active;26,00;4;KIMS;0;2;2;1;1;2
48;96;Goldin;2012;56;0,901340827;0,043408245;0,447434491;0,044003952;0;1;0;0;1;0;0;MBSR;active;26,00;4;KIMS;0;2;2;1;1;2
49;97;Goldin;2016;72;1,152581746;0,039418123;0,405737273;0,021192185;1;0;0;0;1;0;0;MBSR;active;30,00;8;other;0;0;0;1;1;1
49;98;Goldin;2016;72;1,626686310;0,053544029;0,481772426;0,021388823;0;1;0;0;1;0;0;MBSR;active;30,00;8;other;0;0;0;1;1;1
50;99;Greeson;2014;90;0,534072117;0,019046343;0,868531528;0,030603856;1;0;0;0;0;1;0;other;waitlist;5,00;1;other;1;0;0;1;1;1
50;100;Greeson;2014;90;0,055475541;0,016714213;-0,074766329;0,022284333;0;0;0;1;0;1;0;other;waitlist;5,00;1;other;1;0;0;1;1;1
51;101;Gross;2018;22;-0,118288512;0,047039445;-0,158249393;0,069628543;1;0;0;0;0;1;0;other;active;7,00;6;other;1;2;1;1;1;2
51;102;Gross;2018;22;0,391354843;0,051105502;-0,020702112;0,068998943;0;1;0;0;0;1;0;other;active;7,00;6;other;1;2;1;1;1;2
52;103;Gumley;2017;29;1,277128565;0,105696380;0,505358395;0,055460858;1;0;0;0;1;0;0;ACT;TAU;20,00;4;other;0;0;0;1;0;1
52;104;Gumley;2017;29;0,423779492;0,058470238;-0,017751694;0,044938907;0;0;1;0;1;0;0;ACT;TAU;20,00;4;other;0;0;0;1;0;1
53;105;Haarig;2016;28;0,750234549;0,057517114;0,653040410;0,086659349;1;0;0;0;0;1;0;other;waitlist;12,00;2;FFMQ;1;0;0;1;1;1
53;106;Haarig;2016;28;-0,118443401;0,045091340;-0,072983278;0,071618806;0;0;0;1;0;1;0;other;waitlist;12,00;2;FFMQ;1;0;0;1;1;1
54;107;Harris;2016;64;0,182435589;0,015219514;0,270469962;0,018416362;1;0;0;0;0;1;0;other;waitlist;21,33;3;FFMQ;2;0;0;1;1;2
54;108;Harris;2016;64;0,100754881;0,017683467;0,128950331;0,020890238;0;0;0;1;0;1;0;other;waitlist;21,33;3;FFMQ;2;0;0;1;1;2
55;109;Hepark;2019;103;0,640514995;0,018688320;0,725396866;0,030807325;1;0;0;0;1;0;0;MBCT;waitlist;29,00;1;KIMS;0;0;2;1;1;2
55;110;Hepark;2019;103;0,196631021;0,015193483;0,087298838;0,023900251;0;0;0;1;1;0;0;MBCT;waitlist;29,00;1;KIMS;0;0;2;1;1;2
56;111;Hoge;2015;38;0,816673529;0,052645712;0,861875975;0,072179742;1;0;0;0;1;0;0;MBSR;active;20,00;6;FFMQ;1;0;0;1;1;1
56;112;Hoge;2015;38;0,494392390;0,045020233;0,355539432;0,055958113;0;1;0;0;1;0;0;MBSR;active;20,00;6;FFMQ;1;0;0;1;1;1
57;113;Jacobs;2011;60;0,439902690;0,027562363;0,720510330;0,041985586;1;0;0;0;0;1;0;other;waitlist;504,00;2;FFMQ;1;0;0;1;1;1
57;114;Jacobs;2011;60;-0,156900051;0,025537198;0,048377462;0,033372340;0;0;0;1;0;1;0;other;waitlist;504,00;2;FFMQ;1;0;0;1;1;1
58;115;Janssen;2019;120;0,328028560;0,010354820;0,344773686;0,020373739;1;0;0;0;1;0;0;MBCT;TAU;26,00;6;FFMQ;0;0;0;1;0;1
58;116;Janssen;2019;120;0,101557013;0,009298148;-0,061852383;0,018216597;0;0;1;0;1;0;0;MBCT;TAU;26,00;6;FFMQ;0;0;0;1;0;1
59;117;Jennings;2017;224;0,277750990;0,019595713;0,282009595;0,019618202;1;0;0;0;0;1;0;other;waitlist;30,00;1;other;0;0;0;1;1;1
59;118;Jennings;2017;224;0,218993234;0,005988181;0,022703830;0,005849460;0;0;0;1;0;1;0;other;waitlist;30,00;1;other;0;0;0;1;1;1
60;119;Jensen;2012;32;0,600000000;0,073750000;0,960193896;0,091311635;1;0;0;0;0;1;0;MBSR;active;27,00;6;MAAS;2;1;2;1;1;2
60;120;Jensen;2012;32;-0,181811973;0,063532987;0,442619203;0,068622242;0;1;0;0;0;1;0;MBSR;active;27,00;6;MAAS;2;1;2;1;1;2
61;121;Jermann;2013;60;0,305533087;0,020936135;0,039950094;0,032283807;1;0;0;0;1;0;0;MBCT;TAU;16,00;5;MAAS;0;2;2;1;1;2
61;122;Jermann;2013;60;0,103753127;0,020910329;-0,019089654;0,034489042;0;0;1;0;1;0;0;MBCT;TAU;16,00;5;MAAS;0;2;2;1;1;2
62;123;Jindani;2015;80;0,896702358;0,026815934;-0,064164236;0,022870476;1;0;0;0;1;0;0;other;waitlist;12,00;2;FFMQ;2;2;2;1;1;2
62;124;Jindani;2015;80;0,237025783;0,026784030;-0,124230090;0,029247162;0;0;0;1;1;0;0;other;waitlist;12,00;2;FFMQ;2;2;2;1;1;2
63;125;Johnson;2016;308;0,046305414;0,005337397;-0,066188889;0,008714700;1;0;0;0;0;1;0;other;TAU;6,33;4;other;0;0;0;1;1;1
63;126;Johnson;2016;308;0,137789921;0,004008345;0,121942152;0,006541785;0;0;1;0;0;1;0;other;TAU;6,33;4;other;0;0;0;1;1;1
64;127;Josefsson;2012;86;0,522627246;0,019287338;0,570120605;0,030592599;1;0;0;0;0;1;0;other;active;6,00;5;FFMQ;2;2;2;1;1;2
64;128;Josefsson;2012;86;0,441534542;0,020879910;0,477049536;0,031822518;0;1;0;0;0;1;0;other;active;6,00;5;FFMQ;2;2;2;1;1;2
65;129;Josefsson;2019;68;0,744199248;0,042563875;0,960599672;0,048712529;1;0;0;0;0;1;0;other;active;5,83;6;other;1;0;0;1;1;1
65;130;Josefsson;2019;68;0,313432836;0,041964803;0,254167635;0,041292024;0;1;0;0;0;1;0;other;active;5,83;6;other;1;0;0;1;1;1
66;131;Kearney;2013;47;0,619301735;0,035673912;0,491950678;0,053381321;1;0;0;0;1;0;0;MBSR;TAU;27,00;4;FFMQ;0;0;0;1;0;1
66;132;Kearney;2013;47;0,162009202;0,029212932;-0,064680481;0,045549626;0;0;1;0;1;0;0;MBSR;TAU;27,00;4;FFMQ;0;0;0;1;0;1
67;133;Kearney;2016;55;0,686750315;0,033840977;0,530190454;0,043867345;1;0;0;0;1;0;0;MBSR;TAU;27,00;3;FFMQ;0;0;0;1;0;1
67;134;Kearney;2016;55;0,068179475;0,023101989;-0,006364781;0,034483457;0;0;1;0;1;0;0;MBSR;TAU;27,00;3;FFMQ;0;0;0;1;0;1
68;135;Keng;2012;56;0,775958194;0,039578549;0,976390935;0,073833481;1;0;0;0;0;1;0;MBSR;waitlist;26,00;2;FFMQ;2;2;1;1;1;2
68;136;Keng;2012;56;0,055858860;0,028779295;0,029918254;0,047640360;0;0;0;1;0;1;0;MBSR;waitlist;26,00;2;FFMQ;2;2;1;1;1;2
69;137;Kenne;2017;120;0,202152523;0,010306070;0,230158582;0,010317074;1;0;0;0;0;0;1;MBSR;waitlist;16,00;1;FFMQ;0;1;1;1;0;1
69;138;Kenne;2017;120;-0,095250643;0,012099454;0,012272411;0,011652576;0;0;0;1;0;0;1;MBSR;waitlist;16,00;1;FFMQ;0;1;1;1;0;1
70;139;Keune;2011;77;0,563641098;0,019446627;0,950854176;0,036301546;1;0;0;0;1;0;0;MBCT;waitlist;8,00;2;other;0;0;0;1;1;1
70;140;Keune;2011;77;0,200594010;0,017091897;0,108775837;0,025147902;0;0;0;1;1;0;0;MBCT;waitlist;8,00;2;other;0;0;0;1;1;1
71;141;Kingston;2007;45;0,072086403;0,036427364;0,762861846;0,061475195;1;0;0;0;0;1;0;other;active;6,00;3;KIMS;0;2;1;1;1;2
71;142;Kingston;2007;45;0,114877572;0,035993409;0,092626128;0,047823324;0;1;0;0;0;1;0;other;active;6,00;3;KIMS;0;2;1;1;1;2
72;143;Kingston;2015;16;0,449066277;0,085659560;0,474496275;0,104992599;1;0;0;0;0;0;1;MBCT;TAU;12,00;2;other;0;0;0;1;1;1
72;144;Kingston;2015;16;0,038596482;0,075522878;-0,394290140;0,103630027;0;0;1;0;0;0;1;MBCT;TAU;12,00;2;other;0;0;0;1;1;1
73;145;Klatt;2009;48;0,609606207;0,053900448;0,411417110;0,049301455;1;0;0;0;0;1;0;other;waitlist;6,00;1;MAAS;2;2;2;1;1;2
73;146;Klatt;2009;48;0,105169595;0,050276516;0,043370795;0,050047026;0;0;0;1;0;1;0;other;waitlist;6,00;1;MAAS;2;2;2;1;1;2
74;147;Kocovski;2013;106;0,550366377;0,016321256;0,581781118;0,022061031;1;0;0;0;1;0;0;other;active;24,00;8;other;1;0;0;1;1;1
74;148;Kocovski;2013;106;0,558849249;0,016617339;0,303012344;0,019734118;0;1;0;0;1;0;0;other;active;24,00;8;other;1;0;0;1;1;1
75;149;Kosycki;2016;39;1,406452377;0,057499073;0,443452907;0,052301202;1;0;0;0;1;0;0;other;waitlist;24,00;2;FFMQ;0;0;0;1;0;1
75;150;Kosycki;2016;39;0,316419208;0,035906803;-0,367359004;0,059304240;0;0;0;1;1;0;0;other;waitlist;24,00;2;FFMQ;0;0;0;1;0;1
76;151;Kuyken;2010;124;0,000000000;0,019230769;0,878332524;0,026648731;1;0;0;0;1;0;0;MBCT;active;16,00;7;KIMS;0;0;0;1;1;1
76;152;Kuyken;2010;124;-0,345842273;0,017093604;0,184186501;0,016402618;0;1;0;0;1;0;0;MBCT;active;16,00;7;KIMS;0;0;0;1;1;1
77;153;Lam;2020;52;0,365336410;0,026910658;0,326174597;0,043883122;1;0;0;0;1;0;0;other;TAU;12,00;3;FFMQ;0;0;0;1;0;1
77;154;Lam;2020;52;0,363464750;0,031598185;-0,063849823;0,045547200;0;0;1;0;1;0;0;other;TAU;12,00;3;FFMQ;0;0;0;1;0;1
