StudyID;EffectID;Author;Year;N;dmh;vardmh;dmin;vardmin;MindfulnessIntervention;ActiveControl;TAUcontrol;WaitlistControl;PsychiatricSample;NonpsychiatricSample;MedicalSample;TreatmentGroup;ControlGroup;TreatmentDuration;StudyQuality;MindfulnessMeasure;RoB1;RoB2;RoB3;RoB4;RoB5;RoBt
96;192;Morton;2012;41;-0,082383625;0,027189795;0,004698781;0,037583119;0;0;1;0;1;0;0;ACT;TAU;24,00;4;other;1;0;0;1;1;1
97;193;Moss;2015;39;0,272560930;0,039313423;1,276802215;0,053390703;1;0;0;0;0;0;1;MBSR;waitlist;16,00;2;other;0;0;0;1;1;1
97;194;Moss;2015;39;1,373514998;0,068501655;0,578671135;0,040655384;0;0;0;1;0;0;1;MBSR;waitlist;16,00;2;other;0;0;0;1;1;1
98;195;Nakamura;2013;38;0,750655933;0,032585955;0,238857806;0,051426326;1;0;0;0;0;0;1;other;active;6,00;5;FFMQ;1;0;0;1;0;1
98;196;Nakamura;2013;38;0,287269567;0,030829379;0,027773010;0,058846216;0;1;0;0;0;0;1;other;active;6,00;5;FFMQ;1;0;0;1;0;1
99;197;Neff;2013;54;0,718367310;0,032444193;0,810328976;0,055346522;1;0;0;0;0;1;0;other;waitlist;16,00;3;other;1;2;2;1;1;2
99;198;Neff;2013;54;0,124122654;0,022420049;0,220054695;0,037933779;0;0;0;1;0;1;0;other;waitlist;16,00;3;other;1;2;2;1;1;2
100;199;Nyklicek;2008;60;0,783230609;0,027361960;0,412249971;0,025189347;1;0;0;0;0;1;0;MBSR;waitlist;26,00;2;other;0;0;1;1;1;1
100;200;Nyklicek;2008;60;0,271074094;0,022402455;-0,004509330;0,024077291;0;0;0;1;0;1;0;MBSR;waitlist;26,00;2;other;0;0;1;1;1;1
101;201;Oken;2010;21;0,178394355;0,078607431;-0,177836911;0,098149717;1;0;0;0;0;1;0;other;active;9,00;5;other;0;2;2;1;1;2
101;202;Oken;2010;21;0,027028602;0,055328766;0,025656962;0,068226696;0;1;0;0;0;1;0;other;active;9,00;5;other;0;2;2;1;1;2
102;203;Omidi;2014;66;1,148558638;0,055319782;1,427686296;0,067304803;1;0;0;0;0;0;1;MBSR;TAU;20,00;3;MAAS;2;2;1;1;1;2
102;204;Omidi;2014;66;0,015260063;0,033337214;-0,251187608;0,034384920;0;0;1;0;0;0;1;MBSR;TAU;20,00;3;MAAS;2;2;1;1;1;2
103;205;Palmeira;2017;73;0,842000105;0,030185452;0,857615003;0,038199185;1;0;0;0;0;0;1;other;TAU;25,00;5;other;2;0;2;1;1;2
103;206;Palmeira;2017;73;0,000625230;0,018884104;0,084725290;0,023574609;0;0;1;0;0;0;1;other;TAU;25,00;5;other;2;0;2;1;1;2
104;207;Perez-Blasco;2013;26;1,002600433;0,071247148;1,049375078;0,074583661;1;0;0;0;0;1;0;other;waitlist;16,00;0;FFMQ;1;2;2;1;1;2
104;208;Perez-Blasco;2013;26;0,137808874;0,076904995;-0,057224719;0,078584480;0;0;0;1;0;1;0;other;waitlist;16,00;0;FFMQ;1;2;2;1;1;2
105;209;Perich;2013;95;0,484475632;0,012965840;0,601012142;0,024595996;1;0;0;0;1;0;0;MBCT;TAU;18,00;5;MAAS;0;0;0;1;1;1
105;210;Perich;2013;95;0,397928971;0,012823294;0,165861394;0,021569255;0;0;1;0;1;0;0;MBCT;TAU;18,00;5;MAAS;0;0;0;1;1;1
106;211;Peterson;2009;29;1,319345980;0,116942201;1,250337817;0,148472694;1;0;0;0;1;0;0;ACT;active;3,10;4;AAQ;1;2;2;1;1;2
106;212;Peterson;2009;29;1,920700243;0,182090359;0,233042212;0,085596195;0;1;0;0;1;0;0;ACT;active;3,10;4;AAQ;1;2;2;1;1;2
107;213;Phang;2015;75;0,753492140;0,026875606;0,595700004;0,031822412;1;0;0;0;0;1;0;other;waitlist;10,00;3;MAAS;0;0;0;1;1;1
107;214;Phang;2015;75;0,109386180;0,019855882;0,123687943;0,026517088;0;0;0;1;0;1;0;other;waitlist;10,00;3;MAAS;0;0;0;1;1;1
108;215;Pinninger;2012;66;0,513135015;0,042576363;0,342196847;0,066159334;1;0;0;0;1;0;0;other;active;9,00;4;MAAS;0;2;2;1;1;2
108;216;Pinninger;2012;66;0,607676655;0,034310845;0,521494157;0,054094194;0;1;0;0;1;0;0;other;active;9,00;4;MAAS;0;2;2;1;1;2
109;217;Plumb Vilardaga;2012;28;0,288642359;0,077678335;0,243897889;0,063393642;1;0;0;0;0;0;1;ACT;waitlist;12,00;4;FFMQ;0;0;0;1;1;1
109;218;Plumb Vilardaga;2012;28;0,020177505;0,085254158;-0,200864414;0,077027925;0;0;0;1;0;0;1;ACT;waitlist;12,00;4;FFMQ;0;0;0;1;1;1
110;219;Polusny;2015;116;0,496067233;0,012250317;0,586637582;0,020208135;1;0;0;0;1;0;0;MBSR;active;26,50;7;FFMQ;2;0;0;1;0;2
