StudyID;SampleID;ESID;CaseID_Count;2_Author;3_Year;interval;timepoints;10_Size;11_Mage;16_CNT;17_Eth;18_Female;Negative/Positive+LS;30_Covid;31_WBm;33_Relt1;34_Relt;avg_rel;WBmi;WBsdi;WBmj;WBsdj;WBcorrij;WBtitj;region;income_level;agem1ic1;agem1ic2;agem1ic3;timelagc;agem2i;corrmean;corrx;es_d;es_dyear;v_d;v_dyear
11526;13115260;333;2;Bearman et al.;2006;2-3;3;247;13,57;U.S.;White/European;0,58;1;no;Other;0,79;0,85;0,82;2,79;0,73;2,72;0,72;;1;North America;High income;-0,15;0,0225;-0,003375;0,01;14,57;0,524095238;0,524095238;-0,095890411;-0,095890411;0,003872093;0,003872093
11526;13115261;334;2;Bearman et al.;2006;1-2;3;181;13,57;U.S.;White/European;0,58;1;no;Other;0,79;0,85;0,82;2,57;0,59;2,48;0,71;;1;North America;High income;-0,15;0,0225;-0,003375;0,01;14,57;0,524095238;0,524095238;-0,152542373;-0,152542373;0,005322896;0,005322896
11526;13115261;335;2;Bearman et al.;2006;2-3;3;181;13,57;U.S.;White/European;0,58;1;no;Other;0,79;0,85;0,82;2,48;0,71;2,45;0,41;;1;North America;High income;-0,15;0,0225;-0,003375;0,01;14,57;0,524095238;0,524095238;-0,042253521;-0,042253521;0,005263548;0,005263548
11527;13115270;336;1;Bergold & Steinmayr;2023;1-2;2;1092;15,13;Germany;Not specified;0,48;0;no;Other;0,89;0,9;0,9;4,92;1,23;4,91;1,11;0,54;1;Europe;High income;1,41;1,9881;2,803221;0,01;16,13;0,524095238;0,54;-0,008130081;-0,008130081;0,000842521;0,000842521
11527;13115271;337;1;Bergold & Steinmayr;2023;1-2;2;1092;15,13;Germany;Not specified;0,48;0;no;Other;0,79;0,85;0,82;4,62;1,13;4,54;1,07;0,53;1;Europe;High income;1,41;1,9881;2,803221;0,01;16,13;0,524095238;0,53;-0,07079646;-0,07079646;0,000863101;0,000863101
11529;13115290;338;3;Burger & Samuel;2017;1-2;4;5126;15,47;Switzerland;White/European;0,54;0;no;Other;0,83;0,85;0,84;4,75;0,8;4,74;0,72;0,63;1;Europe;High income;1,75;3,0625;5,359375;0,01;16,47;0,524095238;0,63;-0,0125;-0,0125;0,000144377;0,000144377
11529;13115290;339;3;Burger & Samuel;2017;2-3;4;5126;15,47;Switzerland;White/European;0,54;0;no;Other;0,83;0,85;0,84;4,74;0,72;4,76;0,74;0,68;1;Europe;High income;1,75;3,0625;5,359375;0,01;16,47;0,524095238;0,68;0,027777778;0,027777778;0,000124929;0,000124929
11529;13115290;340;3;Burger & Samuel;2017;3-4;4;5126;15,47;Switzerland;White/European;0,54;0;no;Other;0,83;0,85;0,84;4,76;0,74;4,74;0,78;0,71;1;Europe;High income;1,75;3,0625;5,359375;0,01;16,47;0,524095238;0,71;-0,027027027;-0,027027027;0,00011322;0,00011322
11531;13115310;341;1;Chen & Cheng;2020;1-2;2;387;15,76;Taiwan;Not specified;0,65;0;no;Other;0,92;0,94;0,93;2,6;0,73;2,55;0,71;;1,5;Asia;High income;2,04;4,1616;8,489664;0,51;17,26;0,524095238;0,524095238;-0,068493151;-0,0456621;0,002465517;0,001095785
11532;13115320;342;1;Chen & Jackson;2009;1-2;2;181;13,5;China;Asian;0,63;1;no;Other;0,83;0,84;0,84;18,54;4,54;18,29;3,84;0,38;0,9;Asia;Upper middle income;-0,22;0,0484;-0,010648;-0,09;14,4;0,524095238;0,38;-0,055066079;-0,061184533;0,006859205;0,008468155
11532;13115321;343;1;Chen & Jackson;2009;1-2;2;194;17,5;China;Asian;0,63;1;no;Other;0,83;0,84;0,84;19,07;4,47;18,54;4,58;0,38;0,9;Asia;Upper middle income;3,78;14,2884;54,010152;-0,09;18,4;0,524095238;0,38;-0,118568233;-0,131742481;0,006427986;0,007935785
11532;13115322;344;1;Chen & Jackson;2009;1-2;2;131;13,5;China;Asian;0,63;1;no;Other;0,82;0,82;0,82;17,37;4,34;17,23;5,08;0,35;0,9;Asia;Upper middle income;-0,22;0,0484;-0,010648;-0,09;14,4;0,524095238;0,35;-0,032258065;-0,035842294;0,009927636;0,012256341
