StudyID;SampleID;ESID;CaseID_Count;2_Author;3_Year;interval;timepoints;10_Size;11_Mage;16_CNT;17_Eth;18_Female;Negative/Positive+LS;30_Covid;31_WBm;33_Relt1;34_Relt;avg_rel;WBmi;WBsdi;WBmj;WBsdj;WBcorrij;WBtitj;region;income_level;agem1ic1;agem1ic2;agem1ic3;timelagc;agem2i;corrmean;corrx;es_d;es_dyear;v_d;v_dyear
10994;11109940;280;2;Wiglesworth et al.;2023;1-2;3;109;14,9;U.S.;White/European;;0;no;Other;0,89;0,91;0,9;25,87;8;23,68;8;0,67;1;North America;High income;1,18;1,3924;1,643032;0,01;15,9;0,524095238;0,67;-0,27375;-0,27375;0,006398803;0,006398803
10994;11109940;281;2;Wiglesworth et al.;2023;2-3;3;109;14,9;U.S.;White/European;;0;no;Other;0,89;0,91;0,9;23,68;8;23,65;8,5;0,67;1;North America;High income;1,18;1,3924;1,643032;0,01;15,9;0,524095238;0,67;-0,00375;-0,00375;0,00605511;0,00605511
10994;11109941;282;2;Wiglesworth et al.;2023;1-2;3;109;14,9;U.S.;White/European;;0;no;Other;0,93;0,91;0,92;22,67;8,16;22,03;7,92;0,785;1;North America;High income;1,18;1,3924;1,643032;0,01;15,9;0,524095238;0,785;-0,078431373;-0,078431373;0,003973172;0,003973172
10994;11109941;283;2;Wiglesworth et al.;2023;2-3;3;109;14,9;U.S.;White/European;;0;no;Other;0,93;0,91;0,92;22,03;7,92;22,18;7,88;0,78;1;North America;High income;1,18;1,3924;1,643032;0,01;15,9;0,524095238;0,78;0,018939394;0,018939394;0,004038343;0,004038343
11046;11110460;284;5;Willroth et al.;2021;1-2;6;674;14,75;U.S.;White/European;0,5;0;no;Other;0,82;0,85;0,84;4,18;0,71;4,13;0,7;;1;North America;High income;1,03;1,0609;1,092727;0,01;15,75;0,524095238;0,524095238;-0,070422535;-0,070422535;0,001415859;0,001415859
11046;11110460;285;5;Willroth et al.;2021;2-3;6;674;14,75;U.S.;White/European;0,5;0;no;Other;0,82;0,85;0,84;4,13;0,7;4,16;0,71;;1;North America;High income;1,03;1,0609;1,092727;0,01;15,75;0,524095238;0,524095238;0,042857143;0,042857143;0,001413543;0,001413543
11046;11110460;286;5;Willroth et al.;2021;3-4;6;674;14,75;U.S.;White/European;0,5;0;no;Other;0,82;0,85;0,84;4,16;0,71;4,22;0,71;;1;North America;High income;1,03;1,0609;1,092727;0,01;15,75;0,524095238;0,524095238;0,084507042;0,084507042;0,001417478;0,001417478
11046;11110460;287;5;Willroth et al.;2021;4-5;6;674;14,75;U.S.;White/European;0,5;0;no;Other;0,82;0,85;0,84;4,22;0,71;4,16;0,72;;1;North America;High income;1,03;1,0609;1,092727;0,01;15,75;0,524095238;0,524095238;-0,084507042;-0,084507042;0,001417478;0,001417478
11046;11110460;288;5;Willroth et al.;2021;5-6;6;674;14,75;U.S.;White/European;0,5;0;no;Other;0,82;0,85;0,84;4,16;0,72;4,08;0,74;;1;North America;High income;1,03;1,0609;1,092727;0,01;15,75;0,524095238;0,524095238;-0,111111111;-0,111111111;0,001421339;0,001421339
11191;12111910;289;3;Wu & Becker;2023;1-2;4;1841;12,2;Germany;Not specified;0,48;0;no;The Cantril Ladder;0,9;0,85;0,88;3,44;0,7;3,36;0,71;0,51;0,5;Europe;High income;-1,52;2,3104;-3,511808;-0,49;12,7;0,524095238;0,51;-0,114285714;-0,228571429;0,000535867;0,002143467
